AGRA,"Agra-Uttar Pradesh",27.1766701,78.0080745,https://www.holidify.com/images/tooltipImages/AGRA.jpg,"Home to one of the 7 wonders of the world-Taj Mahal. Agra is a sneak peek into the architectural history with other structures such as Agra Fort and Fatehpur Sikri and hence makes for a must visit for anyone living in or visiting India."
GOA,Goa,15.4989,73.8278,https://www.holidify.com/images/tooltipImages/GOA.jpg,"Situated on the Western Coast. Goa is the place associated most with touristy beaches. happening nightlife and old Portuguese architecture. "
DELHI,"New Delhi-NCR",28.6666667,77.2166667,https://www.holidify.com/images/tooltipImages/DELHI.jpg,"From historical monuments to crowded shopping malls. from Mughal gardens to Delhi University campus. the capital city has multiple personalities making it 'The good the bad and the ugly'."
JAIPUR,"Jaipur-Rajasthan",26.9124165,75.7872879,https://www.holidify.com/images/tooltipImages/JAIPUR.jpg,"Jaipur- the 'Pink City' is one of the most royal- majestic and colourful cities of India with a very strong historical background and vibrant culture."
MUMBAI,"Mumbai-Maharashtra",19.0759837,72.8776559,https://www.holidify.com/images/tooltipImages/MUMBAI.jpg,"Labeled with multiple titles such as 'Financial capital of India'- 'The Maximum City'-'Land of Bollywood'- 'The dream City' and much more- Mumbai is Maharashtra's capital and India's most populous city which has multiple faces making it all things to all people."
MANALI,"Manali-Himachal Pradesh",32.2396325,77.1887145,https://www.holidify.com/images/tooltipImages/MANALI.jpg,"Nestled at one end of the Kullu Valley. Manali is a hill station with attraction such as the Rohtang pass nearby and is popular among tourists. especially during summers."
KOLKATA,"Kolkata-West Bengal",22.572646,88.363895,https://www.holidify.com/images/tooltipImages/KOLKATA.jpg,"Labeled as the 'City of Joy'. the 'Cultural capital of India' Kolkata (formerly known as Calcutta) is a city with character and remnants of British Raj visible in its Victorian style architecture. trams and the nomenclature of the place."
ANDAMAN-NICOBAR-ISLANDS,Andaman & Nicobar,11.7400867,92.6586401,https://www.holidify.com/images/tooltipImages/ANDAMAN.jpg,"A group of about 600 islands in the Bay of Bengal. Andaman and Nicobar Islands are known for their scenic beaches- dense forests and adventurous water sports."
UDAIPUR,"Udaipur-Rajasthan",24.5712699,73.6915439,https://www.holidify.com/images/tooltipImages/UDAIPUR.jpg,"Located in a valley and surrounded by 4 lakes- it is at times referred to as the 'Kashmir of Rajasthan'"
MUNNAR,"Munnar-Kerala",10.0889333,77.0595248,https://www.holidify.com/images/tooltipImages/MUNNAR.jpg,"Situated on the banks of three rivers- Madupetti -Nallathanni and Periavaru- Munnar is an idyllic hill station. famous for its tea estates- exotic scenery- abundance of flora and fauna and craggy peaks."
